text	score	binary	multilevel	id
Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .	0.875000	1	4	446
The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .	0.555560	1	2	467
` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .	0.513890	1	2	468
The actors are fantastic .	0.944440	1	4	473
They are what makes it worth the trip to the theatre .	0.722220	1	3	474
( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .	0.930560	1	4	486
This is n't a new idea .	0.333330	0	1	487
It 's been done before but never so vividly or with so much passion .	0.819440	1	4	488
( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .	0.777780	1	3	514
It 's not life-affirming -- its vulgar and mean , but I liked it .	0.569440	1	2	584
What `` Empire '' lacks in depth it makes up for with its heart .	0.736110	1	3	670
Light , silly , photographed with colour and depth , and rather a good time .	0.861110	1	4	692
But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...	0.680560	1	3	702
Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .	0.736110	1	3	703
Their computer-animated faces are very expressive .	0.722220	1	3	704
The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .	0.541670	1	2	705
... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )	0.680560	1	3	742
There 's an energy to Y Tu Mamá También .	0.763890	1	3	748
Much of it comes from the brave , uninhibited performances by its lead actors .	0.833330	1	4	749
`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .	0.402780	0	2	840
`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era	0.652780	1	3	893
If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .	0.527780	1	2	894
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''	0.166670	0	0	896
feeling to it , but like the 1920 's , the trip there is a great deal of fun .	0.777780	1	3	897
No. .	0.333330	0	1	6902
`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! ''	0.611110	1	3	1112
Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .	0.375000	0	1	1153
But believe it or not , it 's one of the most beautiful , evocative works I 've seen .	0.944440	1	4	1154
García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .	0.750000	1	3	1215
... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .	0.861110	1	4	1241
( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .	0.638890	1	3	1256
The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .	0.888890	1	4	1274
`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .	0.805560	1	4	1482
For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .	0.833330	1	4	1489
It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .	0.819440	1	4	1588
A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .	0.666670	1	3	1671
A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .	0.777780	1	3	1672
It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .	0.652780	1	3	1673
Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .	0.458330	0	2	1674
An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '	0.750000	1	3	1675
( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . '	0.777780	1	3	1676
A smart , steamy mix of road movie , coming-of-age story and political satire .	0.666670	1	3	1677
The modern-day royals have nothing on these guys when it comes to scandals .	0.388890	0	1	1678
It 's only in fairy tales that princesses that are married for political reason live happily ever after .	0.361110	0	1	1679
A terrific B movie -- in fact , the best in recent memory .	1.000000	1	4	1680
`` Birthday Girl '' is an actor 's movie first and foremost .	0.708330	1	3	1681
I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .	0.875000	1	4	1682
For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .	0.902780	1	4	1683
What 's really so appealing about the characters is their resemblance to everyday children .	0.708330	1	3	1684
Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail	0.541670	1	2	1685
An absurdist spider web .	0.361110	0	1	1686
If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .	0.638890	1	3	1687
This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .	0.555560	1	2	1688
Some movies blend together as they become distant memories .	0.444440	0	2	1689
Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .	0.666670	1	3	1690
Allen 's funniest and most likeable movie in years .	0.875000	1	4	1691
It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .	0.805560	1	4	1692
This comic gem is as delightful as it is derivative .	0.819440	1	4	1693
More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .	0.819440	1	4	1694
The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .	0.625000	1	3	1695
With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .	0.458330	0	2	1696
The production has been made with an enormous amount of affection , so we believe these characters love each other .	0.833330	1	4	1697
Certainly the performances are worthwhile .	0.722220	1	3	1698
Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .	0.680560	1	3	1699
Watching these eccentrics is both inspiring and pure joy .	0.847220	1	4	1700
Steven Spielberg brings us another masterpiece	0.986110	1	4	1701
Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .	0.736110	1	3	1702
Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .	0.805560	1	4	1703
Allen shows he can outgag any of those young whippersnappers making moving pictures today .	0.763890	1	3	1704
A good film with a solid pedigree both in front of and , more specifically , behind the camera .	0.791670	1	3	1705
By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .	0.236110	0	1	1706
I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !	0.875000	1	4	1707
A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .	0.694440	1	3	1708
High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .	0.611110	1	3	1709
If you 're a fan of the series you 'll love it and probably want to see it twice .	0.916670	1	4	1710
I will be .	0.625000	1	3	1711
It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '	0.722220	1	3	1712
The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .	0.805560	1	4	1713
It is also a testament to the integrity and vision of the band .	0.750000	1	3	1714
Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .	0.861110	1	4	1715
Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .	0.611110	1	3	1716
Nair does n't treat the issues lightly .	0.611110	1	3	1717
She allows each character to confront their problems openly and honestly .	0.722220	1	3	1718
One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .	0.888890	1	4	1719
The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .	0.777780	1	3	1720
Strange occurrences build in the mind of the viewer and take on extreme urgency .	0.722220	1	3	1721
Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .	0.680560	1	3	1722
Familiar but utterly delightful .	0.638890	1	3	1723
A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .	0.763890	1	3	1724
The film aims to be funny , uplifting and moving , sometimes all at once .	0.694440	1	3	1725
The extent to which it succeeds is impressive .	0.777780	1	3	1726
The film brilliantly shines on all the characters , as the direction is intelligently accomplished .	0.916670	1	4	1727
While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .	0.708330	1	3	1728
As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .	0.791670	1	3	1729
In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .	0.888890	1	4	1730
Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .	1.000000	1	4	1731
From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .	0.666670	1	3	1732
Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .	0.736110	1	3	1733
that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture	0.666670	1	3	1734
Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .	0.513890	1	2	1735
Meyjes ' provocative film might be called an example of the haphazardness of evil .	0.666670	1	3	1736
Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .	0.555560	1	2	1737
The movie is pretty funny now and then without in any way demeaning its subjects .	0.763890	1	3	1738
imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor	0.611110	1	3	1739
Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .	0.763890	1	3	1740
It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .	0.916670	1	4	1741
It 's not a great monster movie .	0.236110	0	1	1742
But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .	0.472220	0	2	1743
Chomp chomp !	0.500000	0	2	1744
The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .	0.583330	1	2	1745
Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .	0.833330	1	4	1746
Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .	0.708330	1	3	1747
Time Out is existential drama without any of the pretension associated with the term .	0.694440	1	3	1748
It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .	0.708330	1	3	1749
Writer\/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .	0.750000	1	3	1750
A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .	0.597220	1	2	1751
It 's tough to watch , but it 's a fantastic movie .	0.805560	1	4	1752
The best animated feature to hit theaters since Beauty and the Beast 11 years ago .	0.833330	1	4	1753
What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .	0.694440	1	3	1754
Pacino is the best he 's been in years and Keener is marvelous .	0.888890	1	4	1755
A solid , spooky entertainment worthy of the price of a ticket .	0.750000	1	3	1756
By turns fanciful , grisly and engagingly quixotic .	0.694440	1	3	1757
... very funny , very enjoyable ...	0.916670	1	4	1758
Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .	0.638890	1	3	1759
So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .	0.791670	1	3	1760
Moonlight Mile gives itself the freedom to feel contradictory things .	0.791670	1	3	1761
It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .	0.805560	1	4	1762
The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .	0.777780	1	3	1763
Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .	0.638890	1	3	1764
If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .	0.652780	1	3	1765
Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .	0.750000	1	3	1766
Hoffman 's performance is authentic to the core of his being .	0.736110	1	3	1767
Told just proficiently enough to trounce its overly comfortable trappings .	0.694440	1	3	1768
An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .	0.819440	1	4	1769
The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .	0.833330	1	4	1770
A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .	0.819440	1	4	1771
What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .	0.750000	1	3	1772
Duvall is strong as always .	0.819440	1	4	1773
A no-holds-barred cinematic treat .	0.819440	1	4	1774
You 'd have to be a most hard-hearted person not to be moved by this drama .	0.611110	1	3	1775
Allen 's underestimated charm delivers more goodies than lumps of coal .	0.666670	1	3	1776
Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .	0.861110	1	4	1777
An exhilarating serving of movie fluff .	0.500000	0	2	1778
Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .	0.833330	1	4	1779
It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .	0.777780	1	3	1780
Dark and disturbing , yet compelling to watch .	0.416670	0	2	1781
Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''	0.305560	0	1	1782
The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .	0.777780	1	3	1783
A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .	0.541670	1	2	1784
A terrific insider look at the star-making machinery of tinseltown .	0.763890	1	3	1785
It 's a diverting enough hour-and-a-half for the family audience .	0.638890	1	3	1786
A party-hearty teen flick that scalds like acid .	0.305560	0	1	1787
As giddy and whimsical and relevant today as it was 270 years ago .	0.902780	1	4	1788
The film offers an intriguing what-if premise .	0.833330	1	4	1789
The Pianist is the film Roman Polanski may have been born to make .	0.750000	1	3	1790
This version does justice both to Stevenson and to the sci-fi genre .	0.694440	1	3	1791
Poignant and delicately complex .	0.736110	1	3	1792
Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .	0.791670	1	3	1793
Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .	0.736110	1	3	1794
In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .	0.722220	1	3	1795
Despite the film 's shortcomings , the stories are quietly moving .	0.708330	1	3	1796
Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .	0.500000	0	2	1797
If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .	0.791670	1	3	1798
This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .	0.791670	1	3	1799
The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis ( Auteil ) and Emilie ( Le Besco ) .	0.597220	1	2	1800
It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .	0.666670	1	3	1801
The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .	0.722220	1	3	1802
... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the Warren Report .	0.541670	1	2	1803
It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .	0.666670	1	3	1804
The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .	0.708330	1	3	1805
Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .	0.666670	1	3	1806
Flawed , but worth seeing for Ambrose 's performance .	0.486110	0	2	1807
With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .	0.819440	1	4	1808
The humor and humanity of Monsoon Wedding are in perfect balance .	0.652780	1	3	1809
Lookin ' for sin , American-style ?	0.375000	0	1	1810
Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .	0.486110	0	2	1811
A compelling motion picture that illustrates an American tragedy .	0.819440	1	4	1812
As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .	0.722220	1	3	1813
It 's a day at the beach -- with air conditioning and popcorn .	0.638890	1	3	1814
Frida is n't that much different from many a Hollywood romance .	0.333330	0	1	1815
What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .	0.708330	1	3	1816
Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .	0.847220	1	4	1817
Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .	0.916670	1	4	1818
The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .	0.625000	1	3	1819
K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .	0.625000	1	3	1820
It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .	0.611110	1	3	1821
Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .	0.736110	1	3	1822
It 's a rare window on an artistic collaboration .	0.750000	1	3	1823
... begins with promise , but runs aground after being snared in its own tangled plot .	0.305560	0	1	1824
Perhaps the best sports movie I 've ever seen .	1.000000	1	4	1825
Cho 's timing is priceless .	0.861110	1	4	1826
... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .	0.430560	0	2	1827
A sensitive , moving , brilliantly constructed work .	0.888890	1	4	1828
An edgy thriller that delivers a surprising punch .	0.791670	1	3	1829
A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .	0.750000	1	3	1830
( Reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .	0.791670	1	3	1831
there is truth here	0.666670	1	3	1832
a confident , richly acted , emotionally devastating piece of work and 2002 's first great film	0.861110	1	4	1833
A touching , small-scale story of family responsibility and care in the community .	0.694440	1	3	1834
Arteta directs one of the best ensemble casts of the year	0.833330	1	4	1835
The casting of von Sydow ... is itself Intacto 's luckiest stroke .	0.680560	1	3	1836
No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .	0.791670	1	3	1837
A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .	0.805560	1	4	1838
Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .	0.861110	1	4	1839
... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...	0.833330	1	4	1840
This movie got me grinning .	0.777780	1	3	1841
There 's a part of us that can not help be entertained by the sight of someone getting away with something .	0.694440	1	3	1842
An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .	0.680560	1	3	1843
What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?	0.722220	1	3	1844
This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .	0.583330	1	2	1845
The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .	0.694440	1	3	1846
Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .	0.652780	1	3	1847
There are no special effects , and no Hollywood endings .	0.611110	1	3	1848
Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .	0.722220	1	3	1849
Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .	0.277780	0	1	1850
A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .	0.444440	0	2	1851
Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .	0.888890	1	4	1852
Sparkles in its deft portrait of Tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .	0.513890	1	2	1853
In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .	0.680560	1	3	1854
... a triumph of emotionally and narratively complex filmmaking .	0.847220	1	4	1855
( Haynes ' ) homage to such films as `` All That Heaven Allows '' and `` Imitation of Life '' transcends them .	0.569440	1	2	1856
Simply put , `` Far From Heaven '' is a masterpiece .	0.916670	1	4	1857
An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .	0.694440	1	3	1858
Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .	0.291670	0	1	1859
Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .	0.541670	1	2	1860
A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .	0.750000	1	3	1861
Top-notch action powers this romantic drama .	0.902780	1	4	1862
Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .	0.625000	1	3	1863
It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '	0.666670	1	3	1864
I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .	0.847220	1	4	1865
Probably the best case for Christianity since Chesterton and Lewis .	0.666670	1	3	1866
A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .	0.777780	1	3	1867
Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .	0.666670	1	3	1868
Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .	0.708330	1	3	1869
A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .	0.625000	1	3	1870
Schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .	0.638890	1	3	1871
A slick , engrossing melodrama .	0.888890	1	4	1872
S1M0NE 's satire is not subtle , but it is effective .	0.666670	1	3	1873
It 's a quirky , off-beat project .	0.666670	1	3	1874
While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .	0.319440	0	1	1875
Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .	0.736110	1	3	1876
The solid filmmaking and convincing characters makes this a high water mark for this genre .	1.000000	1	4	1877
Films about loss , grief and recovery are pretty valuable these days .	0.777780	1	3	1878
Seen in that light , Moonlight Mile should strike a nerve in many .	0.736110	1	3	1879
It 's endlessly inventive , consistently intelligent and sickeningly savage .	0.875000	1	4	1880
It is definitely worth seeing .	0.916670	1	4	1881
An impeccable study in perversity .	0.666670	1	3	1882
Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .	0.722220	1	3	1883
A movie that both thrills the eye and , in its over-the-top way , touches the heart .	0.805560	1	4	1884
Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .	0.722220	1	3	1885
Affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .	0.611110	1	3	1886
A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .	0.597220	1	2	1887
The large-frame IMAX camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .	0.930560	1	4	1888
The result is more depressing than liberating , but it 's never boring .	0.430560	0	2	1889
A story about intelligent high school students that deals with first love sweetly but also seriously .	0.666670	1	3	1890
It is also beautifully acted .	0.833330	1	4	1891
It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .	0.597220	1	2	1892
Same song , second verse , coulda been better , but it coulda been worse .	0.500000	0	2	1893
