key	text	target
28	orange orange fruit fruit apple blue fruit is google fruit orange blue orange color is company color google orange a fruit a is company orange apple fruit orange orange apple fruit color fruit apple color apple google blue blue fruit apple is a is color company apple apple google fruit company color blue color blue color blue blue a is blue apple orange apple google google color is orange google is google fruit a fruit a company google a google orange orange orange fruit blue company apple is fruit color apple blue is blue blue fruit apple apple blue google fruit color google is fruit company	37
29	company company a fruit orange color fruit orange color google company blue fruit fruit google orange apple a company orange color company a orange company orange company company is google google fruit a is orange blue color fruit apple apple google blue a blue company blue color fruit blue google google color company a google orange fruit color is color orange fruit is google apple is blue is apple fruit orange fruit orange a is company fruit a company is google orange company a fruit fruit orange google is company orange apple is company orange blue is	5
30	color is blue apple blue is google color fruit company orange apple fruit orange is a orange apple a color fruit orange fruit color apple apple blue color google a orange a is company fruit company apple a company fruit fruit google is a google a orange a apple color color is is apple a company fruit a a color orange apple a is apple orange color company google color fruit orange is company orange is orange company color blue orange is company company blue apple google apple blue blue apple is apple color company blue a color a orange company company a blue	20
31	orange company fruit blue a fruit apple orange apple a a google company blue color is fruit fruit orange fruit orange blue color apple is google fruit google blue apple a is color is color apple color google blue is company fruit google fruit is apple google color orange blue google apple blue google is company orange a is orange a color blue fruit google orange a a fruit google google apple a color orange orange company color color blue apple apple apple blue color is company google google orange google google apple a apple google is a company orange is	32
32	blue orange color company a company a company orange a is is google blue fruit is blue apple a fruit is apple orange apple a color company fruit is a blue orange color orange apple orange google fruit fruit blue company color orange apple apple color fruit a orange orange is color google is is is fruit orange color color is is google is color apple color apple blue is apple fruit google blue blue color google company is fruit is blue orange apple is a is fruit color fruit blue apple google a google a a google is company fruit is company apple is is apple google a apple a blue orange company blue apple apple company a fruit apple	3
33	company orange apple google is is is is orange orange blue company apple fruit fruit company google fruit is company apple google apple a color orange is fruit fruit company color company company orange orange apple fruit a is apple google google orange company a blue color orange apple a color color apple company fruit a apple company fruit company orange color is fruit orange google orange company orange google company orange apple is apple color fruit apple is fruit company fruit color fruit color blue a apple apple a orange color is is blue a fruit company a blue apple apple fruit blue a color is a a a is google color color color blue is	27
34	is color orange google color blue company fruit google apple apple company orange blue is apple is blue google google company apple google a company company a a google color is orange blue fruit fruit blue a a orange a color apple fruit google color blue apple company company blue blue color blue blue color color color google apple blue fruit google is a is apple apple fruit orange a blue google orange company color google apple fruit is apple color orange a fruit company is apple fruit a a fruit	38
35	apple blue blue blue google blue a orange company color fruit is blue blue fruit google is orange company fruit apple apple blue google company blue company a orange a apple google blue apple company color a color blue apple google orange color is blue orange apple blue apple a blue is google apple color company company fruit company apple color fruit google is company orange orange a apple color google is blue color color orange color color fruit company company apple google color fruit color fruit blue color blue is google blue is is blue orange apple color company is	5
36	orange company is blue color color company a apple company is google apple google color fruit is orange is company orange is color orange orange company fruit a google blue blue is google a fruit is blue a is blue is company blue company apple color a color blue blue a orange orange orange orange color a a google a orange a color google a is company is a fruit apple fruit blue a company fruit blue company apple orange apple apple fruit orange color company company blue a orange a company fruit company color orange blue fruit company a fruit orange blue blue google orange orange apple fruit color color	24
37	fruit a blue is blue orange fruit blue google fruit a blue apple is apple fruit orange color is fruit blue is blue color fruit orange apple google a a orange orange blue a is apple apple orange apple a fruit company fruit orange apple a a is google a company is apple apple is is blue a color is apple orange orange a is orange fruit apple a a apple company apple a apple a orange is google fruit google blue google company is color company company orange orange blue a a fruit is fruit color fruit	35
38	is a apple company a orange blue blue google color blue blue is fruit color company is a company blue google blue a orange fruit blue fruit orange fruit google fruit apple orange blue color color fruit color google fruit google company apple orange color color color fruit fruit color apple color fruit a google a color blue orange apple google company apple blue blue fruit apple fruit company is fruit color google google apple color google apple google color color google is orange fruit is a fruit fruit is a orange color a company is color orange a google company is apple fruit company a company a company orange	14
39	orange apple orange google a a company google a company fruit a a a apple blue is is fruit company color a orange google is apple orange google is is a is a orange is apple apple color is apple company orange color fruit a blue color is orange orange fruit orange a a orange fruit apple apple color a a orange google company color apple color color color google is apple is fruit fruit a google blue fruit blue blue orange orange google blue	3
40	is company color company company company apple google a blue a apple a orange google blue is company orange is fruit google a google is color google blue orange apple orange blue orange color apple blue company a blue a google is google apple a a a color fruit color apple is apple google company is apple color google color a blue google apple orange color google company apple a apple is orange a orange fruit a fruit a company orange apple a google fruit color apple color apple color apple a fruit orange orange color color orange apple google google orange apple google color color a color fruit a google	42
41	a color blue google apple google blue orange google is apple google is blue google fruit a is orange fruit apple orange is fruit google blue fruit apple apple fruit orange blue color blue company google apple google fruit apple blue blue company google is fruit apple color is blue a fruit fruit a color apple color google company color fruit blue blue a is is google blue apple blue orange fruit google blue apple apple color company company company orange a a color orange google apple company color apple color a color apple company a orange is a google	20
42	color is google company apple orange blue fruit fruit apple google fruit company is a google apple color color fruit google color orange company company color company is is a color google a a company orange google a a is fruit color is apple blue blue a is google apple google apple apple is color fruit blue company color apple color company blue a apple fruit color orange google google is apple color apple is apple fruit is google blue color color is color apple is orange orange apple	15
43	is a color google blue google is apple company is apple blue blue is is blue a company fruit google apple is company color blue a google apple company company google orange color blue company google a company google color color color google fruit blue company fruit blue apple company google google color color is color orange a is is company color company fruit color a apple a is fruit a is orange orange company google fruit apple apple fruit apple a apple a fruit blue color is apple color orange color a color fruit blue google color color company fruit fruit orange blue is apple orange fruit	37
44	a company company blue orange google fruit is fruit fruit google blue blue a company company blue blue color is google is google company a a a blue apple fruit is fruit company color google apple company a orange company fruit is is orange is orange apple is color google orange company apple color company a orange fruit color apple orange google company orange color fruit fruit orange fruit fruit is color fruit is company orange google color is color company is color apple orange company a blue a apple company a company a color is a a is color google blue	1
45	color fruit is apple is blue color apple is color a orange fruit a orange color is a a color a google apple apple a is blue apple company a color is google google blue apple a is is google a google a fruit color blue orange blue company google blue apple apple company is is apple fruit blue color blue google apple google blue google orange company is orange fruit a fruit blue google is fruit google apple fruit google blue a google apple a blue is blue google company google google is is fruit orange a fruit blue is color apple company is orange orange blue apple color fruit fruit orange orange	48
46	a orange google google blue apple apple color color blue fruit a google color is company is company blue google a google google apple is blue is is fruit a apple apple google blue google apple blue orange fruit orange google orange orange blue a apple a company a is blue a a fruit fruit color color color fruit google is a is a fruit color color google a orange color blue a fruit apple is apple blue a apple google blue apple google orange fruit apple company fruit blue is google orange fruit color google color apple is apple is fruit orange is company	15
47	company apple a fruit color google is fruit is company google color fruit is fruit is fruit color company blue a is blue is company google fruit color a orange orange google a google orange company apple a a color a apple fruit a color apple color a color company company orange google company color apple google apple is fruit is orange is apple company a fruit apple fruit color fruit apple apple color apple google blue a apple apple company apple blue a is is company company fruit orange google fruit is fruit apple google is is blue company google	37
48	company a color orange fruit a blue fruit blue is google is company company blue color fruit google apple apple google orange a fruit blue blue color company blue a blue company color a is google fruit company google blue apple apple blue is orange apple google blue is google google is orange fruit company is a blue color orange is google orange color blue company apple a color orange apple a google a apple a company fruit is blue is color fruit fruit a apple apple company fruit google color google fruit apple company orange orange	24
49	google company orange a is company google orange blue a is apple fruit apple apple is a a a fruit blue google is google company a blue fruit orange is color color color color fruit google a a google google a a blue is company is company a blue fruit google is a a orange color is blue color blue company color fruit google fruit apple is a a is color company company fruit apple google apple a blue company orange apple fruit color fruit company a a color google fruit color blue company apple google orange a google apple color blue is color orange google orange fruit company blue a color orange orange	1
50	is orange orange a blue google a is fruit google a apple orange color blue a blue blue color a google is color fruit a apple a google is color company company color orange a apple color is orange a color apple a google apple google company google color fruit color a color google is apple is fruit blue orange company is orange blue apple is apple orange a color a blue google a apple	19
51	blue google is a blue a apple orange apple orange company orange fruit blue color company blue blue color apple apple blue fruit apple company a company is fruit company apple blue blue fruit is fruit apple orange orange a orange company blue a is color is fruit google orange a company orange fruit color apple fruit fruit blue orange google company apple color is fruit fruit company apple fruit apple color color company company blue company a blue apple a google company fruit is google is a fruit is apple color color	41
52	is apple google color fruit apple apple blue google color fruit google fruit orange orange apple orange google fruit apple fruit color fruit a a orange company color fruit a color orange is apple google apple fruit apple fruit orange is fruit orange blue google apple google is google blue apple a apple apple is is apple google orange blue company blue company blue google fruit blue apple blue a orange color fruit orange orange a blue color color a orange color orange is orange company company company company orange is apple orange apple google google color orange color is color google google color google apple color apple fruit	28
53	blue company a color is google a a apple blue fruit color is apple is fruit color google apple blue a company a fruit fruit a a is company fruit company google google a google fruit orange google a orange is a company color is fruit fruit apple a color blue a color a google color is color apple is google a orange fruit fruit a google orange apple blue orange a fruit blue google a blue color fruit apple orange orange orange color company is is blue is company google google color blue google orange a apple fruit orange company color blue google is	41
54	orange is is google a blue apple color fruit a fruit google company orange google company color blue color a google color google is orange orange apple a fruit google is fruit apple orange google company is company is orange fruit a a color google apple a google a color color blue google orange fruit company is a color fruit is google blue fruit is google orange color company a orange color apple google a fruit google google orange a a orange company fruit apple is is company is google apple blue a color orange company	23
55	a apple apple is is a company google blue blue google company blue company orange company is is color blue color a apple color fruit a blue company is google apple blue orange blue google is apple google orange a a a company fruit is orange apple is fruit fruit orange is a fruit color color orange company a company company is a a a orange google google orange fruit google blue apple blue color fruit orange company blue orange company blue company a is a a is fruit a color company google google fruit fruit blue blue fruit apple google color orange google company google google orange orange blue is is is apple is a apple	37
56	google orange blue company is color is blue apple company google orange fruit blue fruit a apple is company is color company blue is orange company fruit apple color apple color color apple orange company orange is fruit color fruit color is fruit is is is google company fruit google orange apple company apple a blue fruit google company fruit company apple orange a a blue apple color apple is blue blue orange apple is a apple color color a blue a orange fruit is apple google company blue a a is a google company fruit company company blue orange blue google color fruit is apple blue a apple color company blue	27
57	company color orange blue apple company company blue color apple color google apple color blue color apple a blue fruit blue google google is apple a color company company is apple fruit orange is orange google google company orange color a apple apple google blue color orange a is is orange apple apple apple is fruit company fruit fruit blue blue fruit google is orange google company a blue fruit company is is google a orange apple fruit google company company fruit a google a orange blue color apple orange blue a company blue google apple company orange fruit google google company blue orange color a color is is a a	22
58	google color blue company is orange color google fruit color google color is a is company color fruit blue company orange a apple a blue is orange fruit a company apple fruit fruit orange company apple a blue orange a orange is color google color company google a apple a apple orange blue fruit color apple apple fruit apple color company orange fruit color fruit blue fruit apple apple orange orange a fruit orange orange apple fruit a apple is color blue fruit apple fruit company color orange apple orange orange blue company is orange apple	15
59	color google apple is fruit fruit orange color a fruit a company blue orange color orange apple orange a a fruit blue blue orange fruit google company apple is color is color fruit company color is color orange color company orange company google google blue company a is fruit blue orange orange color a company color is orange a apple a a company apple google company fruit orange blue a blue company apple is orange google google color orange company a fruit	2
60	a a orange color a color company google google google fruit fruit fruit apple color company fruit is is is blue fruit google fruit orange blue fruit blue a blue is is google is fruit orange a orange is is company a company google google google color color a apple orange color apple fruit fruit apple google fruit orange company a is orange orange fruit google blue is blue company a fruit apple company fruit blue orange blue orange google fruit apple apple google fruit color google google apple color apple color blue company orange google color fruit company fruit google apple color	32
61	fruit company apple blue google apple google fruit apple orange is fruit a apple apple company google blue company apple apple fruit color a a company company company is apple apple google a fruit company a color blue blue blue apple is orange apple google google google is google orange google orange is is fruit fruit apple fruit a a color fruit a a color apple orange fruit company orange blue google color is blue blue google is fruit is apple blue orange color fruit a a is orange google orange blue	47
62	orange company a orange apple google google orange color is apple fruit a blue orange orange google is color is fruit apple apple is blue company company is fruit color a company color a company company is blue a google fruit google a google blue is blue is a orange blue a google is color a a company fruit orange company fruit apple a orange orange color fruit a a company color google is fruit blue blue company a is is company a color blue blue company google color apple google apple fruit google is google color google apple blue blue is fruit a a google apple color orange	40
63	orange a is blue a a apple google google color google orange is company orange apple is apple fruit google blue blue blue apple orange fruit blue is blue fruit google fruit google color company google is google google orange blue a apple orange company color fruit company is color orange google google company fruit a fruit blue apple company blue orange google orange fruit color google is a apple is orange blue google apple google apple is color orange is company is is company color color blue company company is google is orange company orange google color orange blue fruit orange orange color google orange blue orange blue fruit blue is	36
64	orange a orange apple orange color a color google color blue is apple google fruit blue blue is google fruit is orange color fruit color company a google is orange color company fruit blue blue color fruit fruit google google blue google orange is apple google fruit orange company orange color orange apple color company apple fruit a orange is is google is a google company a is apple color color google google blue company blue apple fruit blue google is company google fruit blue apple apple company orange blue google fruit apple fruit blue company color is google fruit apple a google company company orange company color fruit	41
65	orange a fruit blue apple google apple color orange blue google google blue a a is color orange apple is a a blue apple color fruit orange company apple company google orange fruit a is apple blue a color is a google orange orange orange fruit apple google is color google orange orange a apple fruit a blue is a is fruit blue is a orange apple blue google orange blue apple apple company fruit google orange company blue is apple is color google a blue apple apple apple blue color orange is company company apple is fruit orange fruit a is google a company company orange orange color fruit fruit apple orange blue a fruit google orange color google fruit apple company	9
66	is is orange is is company fruit company blue a is google color color blue company blue company fruit a apple google google google is company company company a company company fruit apple company orange fruit a apple is google google orange color company orange color fruit company orange orange a orange fruit google orange company color color a a apple is orange color company company company color orange color color google fruit google a orange is a apple orange company orange google company apple orange orange fruit company apple apple a google orange a is apple company company google google google company color apple google apple google orange a orange	48
67	a a google fruit fruit blue orange is fruit blue apple google company apple is company a color is google a company apple fruit apple orange blue blue color company is blue apple a is color a a orange fruit is blue company a fruit fruit color apple company is orange orange orange color company is google blue fruit is is company color google is apple color orange color is a company orange company a fruit apple blue google company color company google is blue blue color blue color apple blue a company fruit company google orange google is google apple	25
68	fruit color is color fruit company color a fruit apple is apple orange google color orange fruit fruit fruit apple apple apple google a a company blue orange fruit blue a apple fruit a color company company company blue orange orange google company color is orange company fruit apple apple company google is is color google a company company blue blue is color is orange orange is a a color orange fruit apple a color color blue is google is a a blue orange google orange color orange a blue fruit orange color orange fruit blue fruit fruit a color orange a orange apple apple color a is	25
69	google fruit blue a google blue color a blue is company orange blue is color color is a apple google orange google company a color apple blue company color apple company is google google company google color fruit blue a is color orange color color is apple company orange google company google orange google fruit fruit blue google fruit a fruit orange fruit is company company fruit orange a color company a blue fruit apple blue a apple a blue orange is color color color is color google apple a color google color	14
70	color is a a fruit company fruit apple google a company company company fruit fruit color fruit blue color fruit orange a is apple color blue fruit google blue google blue google company is google apple orange blue apple is company color a a orange apple company a company blue is company fruit a a is a blue google color fruit company google orange apple a google blue orange fruit a blue company color company color google fruit google fruit company fruit fruit google fruit color orange orange google a company fruit orange blue a orange is blue is a google blue orange blue fruit fruit a orange color is google a google company company fruit apple company company company blue blue a google orange apple blue blue orange	25
71	google company orange is apple is color google company fruit a google a color color orange company blue company apple apple apple apple fruit blue fruit google a is is fruit blue company a color a is apple orange apple google orange google a a fruit blue is apple blue google fruit color company blue is a blue orange google color blue apple a is is google fruit apple company fruit apple color is blue company company is color company fruit company fruit apple apple	44
72	fruit google color is apple a apple a a company blue orange color company a apple company company is apple a apple apple is apple color fruit color company company a a is color company apple blue color company google fruit is google color apple color company orange google company company is blue is blue google a apple orange company orange a company apple fruit apple color is orange company is fruit orange apple company google fruit a apple is apple color is orange color is is is	25
73	orange a is blue google fruit is fruit company blue color a a color orange a apple apple orange apple google a apple orange fruit fruit is apple apple google is fruit company color company color apple orange color company google is google color color fruit apple fruit fruit orange a is google company fruit blue fruit fruit orange google is color orange company a apple a company apple color is is is a fruit a google	3
74	company google company fruit google blue is apple company company color company orange orange color google google a fruit blue blue google orange blue orange apple a color orange apple google company apple color company blue blue a color orange is color orange fruit orange color apple orange is fruit apple a apple company color company a company google blue a google fruit company orange fruit fruit company color apple color color fruit fruit blue apple color color apple fruit color fruit a is color orange orange a apple orange blue apple orange apple company a apple color blue company apple google a apple is fruit blue blue apple blue orange	21
75	orange is company a google fruit is blue apple is apple blue orange apple a is fruit a color company google company company blue blue google apple blue color blue blue google fruit orange a is orange orange fruit fruit fruit company fruit google blue company orange orange apple color color is fruit company blue fruit a orange orange company company google orange apple is google apple a apple is apple orange a orange is company color apple blue color apple fruit company google	2
76	apple a is orange color a a color a company google is fruit apple company google color fruit color is color blue apple is apple apple fruit blue blue apple a apple orange apple orange apple google blue blue fruit color blue google blue color a google is orange fruit company color blue blue apple a apple google color google google orange is fruit color google fruit google orange color is blue blue a orange company fruit a a fruit color orange fruit company orange apple fruit blue orange color a google google google orange apple google company company is orange apple google orange	47
77	google fruit google google color apple google orange orange google is blue is blue apple blue apple company orange fruit apple fruit orange orange is google blue google google blue is blue apple is google fruit blue a company apple blue apple orange color apple orange a fruit is is company a apple orange blue fruit color google is color a is blue is is apple color is a company color company company google is company google is blue fruit apple fruit fruit color is apple apple a apple fruit fruit blue google apple	2
78	is google a fruit company blue is is apple fruit a blue is orange company company blue company orange google orange company a a blue google a company blue google is apple a blue apple orange a google a is orange google orange apple fruit blue a company fruit is apple apple color blue company google google apple is color color blue apple is blue company a google blue is a apple google google company a fruit color orange is is company is company color google company color blue a orange blue color company orange	47
79	a apple fruit orange apple color a company is apple fruit is is is is a orange company blue company blue company a google google is apple is google blue google blue color is orange color company company orange apple fruit color apple google company color company is orange google apple company blue apple company company is a a blue fruit orange color a orange company a google fruit color is is google company google fruit apple apple google google blue company orange google blue blue orange is is company orange color is orange blue fruit apple color google blue a color fruit is color google blue google fruit is	15
80	fruit blue a orange blue fruit a blue orange orange color google is apple orange blue a apple google blue is color google blue orange apple a orange blue orange color color color orange blue company apple blue orange apple fruit color fruit company fruit apple fruit blue color company orange orange company fruit is is apple google company orange is company a google blue is orange is google company company blue apple blue blue google apple	48
81	blue company color color is google is google company color is is apple is is fruit apple fruit company company color google company orange apple orange color google google fruit company apple fruit blue blue is orange color fruit a google apple color a google color google orange fruit blue google blue is a company is fruit color blue apple apple a apple is fruit blue apple company is orange fruit blue fruit google a blue google fruit is google orange is apple fruit apple blue a google is apple is is company company company orange color fruit blue apple a a is color blue orange is a company company is fruit company apple color	41
82	fruit apple color orange company google color apple google google color google apple orange company orange orange a orange company google orange orange blue blue a orange company company apple is is color color is orange orange blue company google blue is a company fruit orange google fruit apple color apple apple orange blue color fruit google a color company apple google company company color is color is color color blue a a orange is blue company color blue apple blue company apple a color color orange google company is color google company orange fruit a google apple orange blue company orange color	9
83	apple is a google is is company is is google company orange color apple is color google fruit fruit company google orange is company google company company fruit company orange is google orange color fruit a fruit is apple company is apple blue color google fruit fruit fruit blue blue color fruit a apple blue google google company is color a apple fruit company google is a fruit color a google google company blue a color google apple company	6
84	is a company orange a orange color is orange is a blue orange fruit color google apple google apple orange google orange apple company a apple apple apple is blue company a apple a blue orange is orange is orange fruit apple color apple company is company apple fruit a a company fruit blue color color color blue a orange apple google company orange fruit a color is is apple color is a a is google apple google a color is a orange apple is orange color company blue is google orange color orange google color a a company orange blue fruit blue a blue blue company	44
85	a color apple blue google orange blue a a a fruit apple is company google orange google is orange is a company company blue orange a fruit color blue fruit is is company company is blue orange apple orange company orange is is orange a color apple fruit a a blue blue apple color google fruit a company orange apple color color orange a fruit is a is apple company google google a is is apple company fruit blue google company company fruit google company apple	2
86	fruit apple is color company fruit apple a fruit fruit google apple company google is orange color apple a a a blue is apple fruit fruit color blue a a a google is apple fruit color color apple orange is blue orange blue blue google orange color google a fruit a apple apple fruit blue blue a a orange company company google google blue color orange apple company company blue a is apple orange orange fruit a company is color color is color fruit blue	50
